Block name,block type,auto_up,mirror,target point x,target point y,target point z,intrim,outtrim,sidetrim,short name,Service,is_elevation,colour,independent value
PP-With regulator-UPS-2 way-3,two way fan-3M,,NO,9310.63,-676.97,0,,,,,elevation,,black,
PP-With regulator-Raw-2 way-3,two way fan-3M,,NO,9310.63,-1031.5,0,,,,,elevation,,black,
PP-blank-1,blank-1M,,NO,9384.54,-1428.9,0,,,,,elevation,,black,
PP-POINTER,pointer,,NO,0,0,0,,,,,draw,,black,YES
PP-With regulator-Raw-2 way-2,two way fan-3M,,NO,9332.03,423.77,0,,,,,elevation,,black,
PP-With regulator-UPS-1 way-3,one way fan-3M,,NO,9310.63,-322.44,0,,,,,elevation,,black,
PP-GTBACK,gt back,,NO,0,0,0,0,0,,GTB,drainage,,blue,YES
PP-ICBACK,ic back,,NO,0,0,0,0,0,,ICB,drainage,,blue,YES
PP-RWCBACK,rwc back,,NO,0,0,0,0,0,,RWCB,drainage,,blue,YES
PP-ARROW,arrow,,NO,0,5.36,0,,,,,draw,,black,YES
PP-WBCOLD,cold tap wash basin,yes,NO,4760.59,7855.31,0,0,0,,,watersupply,,blue,YES
PP-WBHOT,hot tap wash basin,yes,NO,4760.59,7520.89,0,0,0,,,watersupply,,red,YES
PP-WCCOLD,cold tap cistern,yes,NO,4760.59,7144.66,0,0,0,,,watersupply,,blue,YES
PP-GYCOLD,cold tap geyser,yes,NO,4760.59,6790.13,0,0,0,,,watersupply,,blue,YES
PP-GYHOT,hot tap geyser,yes,NO,4760.59,6412.52,0,0,0,,,watersupply,,red,YES
PP-HEALTH FAUCET COLD,cold tap health faucet,yes,NO,0,0,0,,,,,watersupply,,blue,YES
PP-SHCOLD,cold tap shower,yes,NO,4760.59,6057.99,0,0,0,,,watersupply,,blue,YES
PP-SHHOT,hot tap shower,yes,NO,4760.59,5680.37,0,0,0,,,watersupply,,red,YES
PP-URCOLD,cold tap urinal,yes,NO,4760.59,5325.84,0,0,0,,,watersupply,,blue,YES
PP-BATHCOLD,cold tap bathtub,yes,NO,4760.59,4948.23,0,0,0,,,watersupply,,blue,YES
PP-BATHHOT,hot tap bathtub,yes,NO,4760.59,4570.62,0,0,0,,,watersupply,,red,YES
PP-SINK HOT,hot tap sink,yes,NO,0,0,0,,,,,watersupply,,red,YES
PP-SINK COLD,cold tap sink,yes,NO,0,0,0,,,,,watersupply,,blue,YES
PP-SHORT BEND,short bend,,NO,13718.28,12994.24,0,94.34,94.34,,,sprinkler,,red,YES
PP-LONG BEND,long bend,,NO,13718.28,12639.71,0,183.11,183.11,,,sprinkler,,red,YES
PP-ELBOW FIRE,elbow,,NO,13724.92,12241.39,0,72.37,72.37,,,sprinkler,,red,YES
PP-SINGLE TEE FIRE,single tee,,NO,13717.6,11929.92,0,94.45,94.45,87.82,,sprinkler,,red,YES
PP-SOCKET FIRE,socket,,NO,13796.07,11514.08,0,44.96,43.15,134.87,,sprinkler,,red,YES
PP-SOCKET FIRE MIRROR,socket,,YES,14928.28,11454.84,0,44.96,43.15,134.87,,sprinkler,,red,YES
PP-REDUCING TEE,reducing tee,,NO,13717.6,11220.86,0,94.45,94.45,87.82,,sprinkler,,red,YES
PP-CROSS TEE FIRE,cross tee,,NO,13749.67,10800.92,0,87.82,87.82,94.45,,sprinkler,,red,YES
PP-FLANGE,flanges,,NO,13747.74,10452.21,0,20,20,,,sprinkler,,red,YES
PP-BUTTERFLY VALVE FIRE,butterfly valve,,NO,13821.73,10098.86,0,72.71,72.71,,,sprinkler,,red,YES
PP-BALL VALVE  FIRE,ball valve,,NO,13806.82,9700.99,0,72.71,77.21,,,sprinkler,,red,YES
PP-Y STRAINER FIRE,y-strainer,,NO,13826.11,9309.3,0,151.39,37.94,,,sprinkler,,red,YES
PP-GLOBE VALVE FIRE,globe valve,,NO,13826.76,8986.07,0,46.26,46.26,,,sprinkler,,red,YES
PP-RUBBER EXPANSION BELLOWS,rubber expansion bellows,,NO,13818.39,8650.4,0,43.18,43.18,,,sprinkler,,red,YES
PP-FLOW SWITCH,flow switch,,NO,13785.5,8314.14,0,94.45,94.45,,,sprinkler,,red,YES
PP-PRESSURE GUAGE,pressure gauge,,NO,13766.46,7940,0,37.5,37.5,,,sprinkler,,red,YES
PP-AUTOMATIC AIR VENT VALVE,automatic air vent valve,,NO,13759.51,7559.81,0,46.26,46.26,,,sprinkler,,red,YES
PP-SHORT BEND MIRROR,short bend,,YES,14966.02,12907.94,0,94.34,94.34,,,sprinkler,,red,
PP-LONG BEND MIRROR,long bend,,YES,14961.66,12540.25,0,183.11,183.11,,,sprinkler,,red,
PP-ELBOW FIRE MIRROR,elbow,,YES,14875.69,12223.12,0,72.37,72.37,,,sprinkler,,red,
PP-SINGLE TEE FIRE MIRROR,single tee,,YES,14937.83,11862.29,0,94.45,94.45,87.82,,sprinkler,,red,
PP-REDUCING TEE MIRROR,reducing tee,,YES,14917.74,11166.65,0,94.45,94.45,87.82,,sprinkler,,red,
PP-FLANGE E,flages,,NO,16083.12,10444.19,0,,,,,sprinkler,YES,red,YES
PP-BUTTERFLY VALVE FIRE E,butterfly valve,,NO,16109.17,10030.53,0,87.86,69.56,,,sprinkler,YES,red,YES
PP-BALL VALVE  FIRE E,ball valve,,NO,16073,9720.32,0,87.74,75.64,,,sprinkler,,red,YES
PP-Y STRAINER FIRE MIRROR,y-strainer ,,YES,15003.45,9367.74,0,151.39,37.94,,,sprinkler,,red,
PP-GLOBE VALVE FIRE E,globe valve ,,NO,16127.34,8900.75,0,90.91,90.91,,,sprinkler,YES,red,YES
PP-FLOW SWITCH MIRROR,flow switch,,YES,14938.48,8211.21,0,94.45,94.45,,,sprinkler,,red,
PP-SP ARROW,Sp arrow,,NO,0,0,0,,,,,sprinkler,,green,
PP-REFINET,refinet,,NO,18896.18,14051.83,0,1056.09,0,214.7,,piping,,red,YES
PP-BEND COPPER,bend,,NO,18418.92,13332.28,0,106.09,106.09,,,piping,,red,YES
PP-REFINET S,refinet tee,,NO,18896.18,12810.15,0,1056.09,0,214.7,,piping,,red,
PP-REFINET S MIRROR,refinet tee,,YES,20101.33,12717.71,0,1056.09,0,214.7,,piping,,red,
PP-REFINET MIRROR,refinet,,YES,20101,13840.69,0,1056.09,0,214.7,,piping,,red,
PP-BEND COPPER MIRROR,bend,,YES,19706.26,13283.69,0,106.09,106.09,,,chiller,,black,
PP-SHORT BEND CH,short bend,,NO,23042.71,12998.77,0,94.34,94.34,,,chiller,,black,YES
PP-LONG BEND CH,long bend,,NO,23042.71,12644.24,0,183.11,183.11,,,chiller,,black,YES
PP-ELBOW CH,elbow,,NO,23031.63,12235.97,0,72.37,72.37,,,chiller,,black,YES
PP-SINGLE TEE CH,single tee,,NO,23021.15,11899.18,0,94.45,94.45,,,chiller,,black,YES
PP-DRAIN VALVE,drain valve,,NO,22935.15,6457.73,0,46.26,46.26,,,chiller,,black,YES
PP-SOCKET CH,socket,,NO,23082.29,11491.67,0,99,99,,,chiller,,black,YES
PP-REDUCING TEE CH,reducing tee,,NO,23039.69,11198.45,0,94.45,94.45,,,chiller,,black,YES
PP-CROSS TEE CH,cross tee,,NO,23071.76,10778.51,0,87.82,87.82,,,chiller,,black,YES
PP-FLANGE CH,flanges,,NO,23069.83,10429.8,0,20,20,,,chiller,,black,YES
PP-BUTTERFLY VALVE CH,butterfly valve,,NO,23143.82,10076.45,0,72.71,72.71,,,chiller,,black,YES
PP-BALL VALVE CH,ball valve,,NO,0,0,0,72.71,77.21,,,chiller,,black,YES
PP-Y STRAINER CH,y-strainer,,NO,23153.73,9283.48,0,151.39,37.94,,,chiller,,black,YES
PP-GLOBE VALVE CH,globe valve,,NO,23148.85,8963.66,0,46.26,46.26,,,chiller,,black,YES
PP-BALL VALVE SET CH,ball valve set,,NO,22935.15,6103.2,0,46.26,46.26,,,chiller,,black,YES
PP-RUBBER EXPANSION BELLOWS CH,rubber expansion bellows,,NO,23140.48,8629.98,0,43.18,43.18,,,chiller,,black,YES
PP-BALANCING VALVE CH,balancing valve,,NO,23023.21,8246.96,0,46.26,46.26,,,chiller,,black,YES
PP-FLOW SWITCH CH,flow switch,,NO,23040.73,7981.06,0,94.45,94.45,,,chiller,,black,YES
PP-PRESSURE GUAGE CH,pressure gauge,,NO,22956.9,7558.05,0,,,,,chiller,,black,YES
PP-TEMPERATURE GUAGE CH,temperature guage,,NO,22924.18,7203.87,0,,,,,chiller,,black,YES
PP-PURGUE VALVE CH,purgue valve,,NO,22935.15,6812.25,0,46.26,46.26,,,chiller,,black,YES
PP-AUTOMATIC AIR VENT VALVE CH,automatic air vent valve,,NO,22935.15,5748.67,0,46.26,46.26,,,chiller,,black,YES
PP-SHORT BEND CH MIRROR,short bend ,,YES,24290.15,12912.46,0,94.34,94.34,,,chiller,,black,
PP-LONG BEND CH MIRROR,long bend,,YES,24286.08,12544.78,0,183.11,183.11,,,chiller,,black,
PP-ELBOW CH MIRROR,elbow,,YES,24233.17,12219.09,0,72.37,72.37,,,chiller,,black,
PP-SINGLE TEE CH MIRROR,single tee,,YES,24260.38,11856.87,0,94.45,94.45,,,chiller,,black,
PP-REDUCING TEE CH MIRROR,reducing tee,,YES,24239.83,11144.24,0,94.45,94.45,,,chiller,,black,
PP-FLANGE CH E,flanges,,NO,25405.21,10421.78,0,,,,,chiller,YES,black,
PP-BUTTERFLY VALVE CH E,butterfly valve,,NO,25430.06,10008.35,0,,,,,chiller,YES,black,
PP-BALL VALVE CH E,ball valve,,NO,0,0,0,78.51,67.68,,,chiller,YES,black,
PP-Y STRAINER CH MIRROR,y-strainer ,,YES,24323.35,9347.16,0,151.39,37.94,,,chiller,,black,
PP-GLOBE VALVE CH E,globe valve ,,NO,25368.52,8899.5,0,,,,,chiller,YES,black,
PP-FLOW SWITCH CH MIRROR,flow switch,,YES,24289.31,7873.42,0,94.45,94.45,,,chiller,,black,
PP-3WAY MOTORIZED,3way motorized,,NO,22935.15,5033.1,0,46.26,46.26,,,chiller,,black,
PP-2WAY MOTORIZED,2way motorized,,NO,22935.15,5369.47,0,46.26,46.26,,,chiller,,black,
PP-AUTOMATIC AIR VENT VALVE WS,automatic air vent valve,,NO,4762.94,4184.38,0,46.26,46.26,,,watersupply,,blue,YES
PP-WATER LVL,water lvl controller,,NO,4707.96,3855.51,0,37.5,37.5,,,watersupply,,blue,YES
PP-SPSINGLETWS,sp single tee,,NO,0,0,0,87.82,94.45,94.45,,watersupply,,blue,YES
PP-SPSINGLETSP,sp single tee,,NO,-42.5,0,0,87.82,94.45,94.45,,sprinkler,,red,
PP-FAN P,fan 48'',,,29596.31,13506.86,0,,,,,plan,,,YES
PP-ROUND CEILING LIGHT,round ceiling light,,,29767.51,13594.41,0,,,,,plan,,,YES
PP-SQUARE LIGHT P,square ceiling light,,,29578.19,13214.18,0,,,,,plan,,,YES
PP-WALL LIGHT P,wall light,,,29482.29,12616.35,0,,,,,plan,,,YES
PP-AC P,ac,,,29477.32,11762.18,0,,,,,plan,,,YES
PP-TUBE P,tubelight,,,29551.63,11300.32,0,,,,,plan,,,YES
PP-WALL FAN P,wall fan,,,29374.45,11431.63,0,,,,,plan,,,YES
PP- MIRROR LIGHT P,mirror light,,,29466.58,10821.96,0,,,,,plan,,,YES
PP-SWITCH BOARD P,switchboard,,,29365.96,10887.33,0,,,,,plan,,,YES
PP-ex P,exhaust,,,29388.72,10057.11,0,,,,,plan,,,YES
PP-GEYSER P,geyser,,,29441.19,9610.9,0,,,,,plan,,,YES
PP-TV P,tv,,,29162.96,8524.84,0,,,,,plan,,,YES
PP-DB P,db,,,29342.11,9305,0,,,,,plan,,,YES
PP-LV RACK P,lv rack,,,29374.27,8914.9,0,,,,,plan,,,YES
PP-EPBX P,epbx,,,29217.01,8548.12,0,,,,,plan,,,YES
PP-METER BOX P,meter box,,,29311.21,8176.67,0,,,,,plan,,,YES
PP-WC WALL P,wc wall,,,29534.49,7385.96,0,,,,,plan,,,YES
PP-WC FLOOR P,wc floor,,,29444.56,7226.31,0,,,,,plan,,,YES
PP-WB WALL P,wb wall,,,29603.95,6733.16,0,,,,,plan,,,YES
PP-WB FLOOR P,wb floor,,,29595.42,6329.76,0,,,,,plan,,,YES
PP-WC INDIAN P,wc indian,,,29344.25,6047.65,0,,,,,plan,,,YES
PP-SHOWER P,shower,,,29587.98,5615.26,0,,,,,plan,,,YES
PP-BATHTUB P,bathtub,,,29387.45,4691.24,0,,,,,plan,,,YES
PP-HEALTH FAUCAT P,health faucet,,,29591.48,4458.69,0,,,,,plan,,,YES
PP-GRATING P,grating,,,0,0,0,,,,,plan,,,YES
PP-SHOWER CHANNEL P,shower channel,,,29740.45,3162.46,0,,,,,plan,,,YES
PP-WWP P,waste pipe,,,0,0,0,,,,,plan,,,YES
PP-SWP P,soil pipe,,,1.56,1.19,0,,,,,plan,,,YES
PP-RWP P,rain pipe,,,0,0,0,,,,,plan,,,YES
PP-VENT P,vent pipe,,,0,0,0,,,,,plan,,,YES
PP-AC DRAIN P,AC drain pipe,,,0,0,0,,,,,plan,,,YES
PP-COPPER PIPE P,copper pipe,,,0,0,0,,,,,plan,,,YES
PP-CHILLER PIPE P,chiller pipe,,,0,0,0,,,,,plan,,,YES
PP-AC RETURN PIPE P,ac return pipe,,,0,-82.72,0,,,,,plan,,,YES
PP-CWP P,cold water pipe,,,0,0,0,,,,,plan,,,YES
PP-FWP,flush water pipe,,,0,0,0,,,,,plan,,,YES
PP-HWP P,hot water pipe,,,0,0,0,,,,,plan,,,YES
PP-GULLY TRAP P,gully trap chamber,,,29569.5,-1838.22,0,,,,,plan,,,YES
PP-INSPECTION CHAMBER P,inspection chamber,,,29571.61,-2223.46,0,,,,,plan,,,YES
PP-RAIN WATER CHAMBER P,rainwater chamber,,,29569.5,-2619.69,0,,,,,plan,,,YES
PP-DOOR P,door,,,29593.59,-3581.74,0,,,,,plan,,,YES
PP-WINDOW P,window,,,29788.18,29788.18,0,,,,,plan,,,YES
PP-SPRINKLER PIPE P,sprinkler pipe,,,0,0,0,,,,,plan,,,YES
PP-HYDRANT PIPE P,hydrant pipe,,,0,0,0,,,,,plan,,,YES
PP-SPRINKLER RETURN PIPE P,sprinkler return,,,0,0,0,,,,,plan,,,YES
PP-GCL P,grid ceiling light,,,29723.54,12820.88,0,,,,,plan,,,YES
PP-URW,urinal wall,,,-93.97,-93.97,0,,,,,plan,,,YES
PP-URF,urinal floor,,,-93.97,-93.97,0,,,,,plan,,,YES
PP-SINK W,sink wall,,,0,0,0,,,,,plan,,,YES
PP-SINK F,sink floor,,,0,0,0,,,,,plan,,,YES
PP-NVR P,nvr,,NO,29709.55,-4898.52,0,,,,,plan,,,YES
PP- HVAC TEE,tee,,,29677.23,2148.77,0,252.4,252.4,,,ducting,,,YES
PP-HVAC ELBOW,bend,,,0,0,0,62.11,62.11,,,ducting,,,YES
PP-HVAC45,elbow,,,0,0,0,38.45,70.16,,,ducting,,,YES
PP-HVAC ELBOW MIRROR,bend,,YES,0,0,0,62.11,62.11,,,ducting,,,
PP-HVAC45 MIRROR,elbow,,YES,0,0,0,38.45,70.16,,,ducting,,,
PP-DRAINAGE END,drainage end,,,0,0,0,0,0,,,drainage,,,
PP-WATER SUPPLY END,watersupply end,,,0,0,0,0,0,,,watersupply,,,
PP-CONDUITING END,conduiting end,,,0,0,0,0,0,,,conduiting,,,
PP-SPRINKLER END,sprinkler end,,,0,0,0,0,0,,,sprinkler,,,
PP-COPPER PIPE END,piping end,,,0,0,0,0,0,,,piping,,,
PP-CHILLER PIPE END,chiller end,,,0,0,0,0,0,,,chiller,,,
PP-DUCT DOT,ducting end,,,50422.88,13190.22,0,0,0,,,ducting,,,
PP-WELD JOINT,weld tee,,NO,0,0,0,94.45,94.45,0,,sprinkler,,red,YES
PP-WELD JOINT M,weld tee,,YES,0,0,0,94.45,94.45,0,,sprinkler,,red,
PP-CCTV,cctv dome,,NO,0,0,0,0,0,0,,plan,,,YES
PP-WELD BEND,weld bend,,NO,0,0,0,126.4,62.5,0,,sprinkler,,red,YES
PP-WELD BEND M,weld bend,,YES,0,0,0,126.4,62.5,0,,sprinkler,,red,
PP-STEP UP WS,stepover watersupply,,NO,0,0,0,183.92,183.92,0,,watersupply,,,YES
PP-ARROW 1,arrow 1,,,0,0,0,,,,,draw,,black,YES
PP-STEP UP COUN,stepover conduiting,,,0,0,0,183.92,183.92,0,,conduiting,,navy,YES
PP-FAN 1,fan 30'',,,0,0,0,,,,,plan,,,YES
PP-WiFi,WiFi,,,0,0,0,,,,,plan,,,YES
PP-CHANDELIER,chandelier,,,0,0,0,,,,,plan,,,YES
PP-Foot light,foot light,,,0,0,0,,,,,plan,,,YES
PP-Smoke detector,smoke detector,,,0,0,0,,,,,plan,,,YES
PP-Motion Detector,motion detector,,,0,0,0,,,,,plan,,,YES
PP-FL E,foot light,,,0,0,0,,,,,elevation,,black,
